"ID","code","indicator","year","amsterdam_code","naam"
"57","NLSTR","Strikes in Netherlands","1897","10345","ROTTERDAM"
"58","NLSTR","Strikes in Netherlands","1897","11053","ALMELO"
"59","NLSTR","Strikes in Netherlands","1897","10345","ROTTERDAM"
"60","NLSTR","Strikes in Netherlands","1902","10345","ROTTERDAM"
"61","NLSTR","Strikes in Netherlands","1902","11150","AMSTERDAM"
"62","NLSTR","Strikes in Netherlands","1867","11209","NIJMEGEN"
"63","NLSTR","Strikes in Netherlands","1867","10722","UTRECHT"
"64","NLSTR","Strikes in Netherlands","1867","10364","ENSCHEDE"
"65","NLSTR","Strikes in Netherlands","1867","10795","ARNHEM"
"66","NLSTR","Strikes in Netherlands","1868","","OVERIJSSEL"
"67","NLSTR","Strikes in Netherlands","1868","11150","AMSTERDAM"
"68","NLSTR","Strikes in Netherlands","1868","10302","GOUDA"
"69","NLSTR","Strikes in Netherlands","1868","10303","ZWARTSLUIS"
"70","NLSTR","Strikes in Netherlands","1868","10702","LEIDEN"
"71","NLSTR","Strikes in Netherlands","1868","10702","LEIDEN"
"72","NLSTR","Strikes in Netherlands","1868","10303","ZWARTSLUIS"
"73","NLSTR","Strikes in Netherlands","1868","","KOUDEKERK AD RIJN"
"74","NLSTR","Strikes in Netherlands","1924","","ONBEKEND"
"75","NLSTR","Strikes in Netherlands","1923","11430","IJZENDOORN"
"76","NLSTR","Strikes in Netherlands","1923","11260","SCHIEDAM"
"77","NLSTR","Strikes in Netherlands","1923","10685","LEERDAM"
"78","NLSTR","Strikes in Netherlands","1923","11044","ZAANDAM"
"79","NLSTR","Strikes in Netherlands","1914","","ONBEKEND"
"80","NLSTR","Strikes in Netherlands","1932","10345","ROTTERDAM"
"81","NLSTR","Strikes in Netherlands","1921","11209","NIJMEGEN"
"82","NLSTR","Strikes in Netherlands","1921","11303","OOSTZAAN"
"83","NLSTR","Strikes in Netherlands","1921","11150","AMSTERDAM"
"84","NLSTR","Strikes in Netherlands","1810","10680","SCHOTERLAND"
"85","NLSTR","Strikes in Netherlands","1817","10157","AENGWIRDEN"
"86","NLSTR","Strikes in Netherlands","1818","10157","AENGWIRDEN"
"87","NLSTR","Strikes in Netherlands","1819","10157","AENGWIRDEN"
"88","NLSTR","Strikes in Netherlands","1819","","SCHEVENINGEN"
"89","NLSTR","Strikes in Netherlands","1819","10212","FINSTERWOLDE"
"90","NLSTR","Strikes in Netherlands","1820","11282","ZUIDBROEK"
"91","NLSTR","Strikes in Netherlands","1821","10527","ALKMAAR"
"91","NLSTR","Strikes in Netherlands","1821","11066","PURMEREND"
"92","NLSTR","Strikes in Netherlands","1822","11150","AMSTERDAM"
"93","NLSTR","Strikes in Netherlands","1823","10346","AKERSLOOT"
"94","NLSTR","Strikes in Netherlands","1823","10346","AKERSLOOT"
"95","NLSTR","Strikes in Netherlands","1823","11301","OUD-BEIJERLAND"
"96","NLSTR","Strikes in Netherlands","1824","","HEMELUM"
"97","NLSTR","Strikes in Netherlands","1824","10285","DEN HELDER"
"98","NLSTR","Strikes in Netherlands","1825","11075","APELDOORN"
"99","NLSTR","Strikes in Netherlands","1825","11088","VOLLENHOVE"
"100","NLSTR","Strikes in Netherlands","1825","10704","TERNEUZEN"
"101","NLSTR","Strikes in Netherlands","1826","","DEN HAAG"
"102","NLSTR","Strikes in Netherlands","1826","11405","SAS VAN GENT"
"103","NLSTR","Strikes in Netherlands","1827","10768","WORKUM"
"104","NLSTR","Strikes in Netherlands","1827","11204","MEPPEL"
"105","NLSTR","Strikes in Netherlands","1828","","ZUIDPLAS"
"106","NLSTR","Strikes in Netherlands","1829","","NIEUWE SCHANS"
"107","NLSTR","Strikes in Netherlands","1829","10121","COLIJNSPLAAT"
"108","NLSTR","Strikes in Netherlands","1830","10142","LEMSTERLAND"
"109","NLSTR","Strikes in Netherlands","1831","10142","LEMSTERLAND"
"110","NLSTR","Strikes in Netherlands","1833","","TIJNJE"
"111","NLSTR","Strikes in Netherlands","1833","10529","GELDROP"
"112","NLSTR","Strikes in Netherlands","1835","11053","ALMELO"
"112","NLSTR","Strikes in Netherlands","1835","11045","LONNEKER"
"113","NLSTR","Strikes in Netherlands","1836","10522","ASSEN"
"113","NLSTR","Strikes in Netherlands","1836","11204","MEPPEL"
"114","NLSTR","Strikes in Netherlands","1836","","DEDEMSVAART"
"115","NLSTR","Strikes in Netherlands","1837","11228","LEEUWARDEN"
"115","NLSTR","Strikes in Netherlands","1837","11421","SNEEK"
"116","NLSTR","Strikes in Netherlands","1837","11357","IJSSELMONDE"
"117","NLSTR","Strikes in Netherlands","1838","","TERWISPEL"
"118","NLSTR","Strikes in Netherlands","1838","","OOSTERZEE"
"119","NLSTR","Strikes in Netherlands","1838","11052","VEENENDAAL"
"120","NLSTR","Strikes in Netherlands","1838","10909","HARLINGEN"
"120","NLSTR","Strikes in Netherlands","1838","11228","LEEUWARDEN"
"121","NLSTR","Strikes in Netherlands","1839","","HEMELUM"
"122","NLSTR","Strikes in Netherlands","1840","11387","HAARLEMMERMEER"
"123","NLSTR","Strikes in Netherlands","1840","10392","MAARN"
"124","NLSTR","Strikes in Netherlands","1840","","DEDEMSVAART"
"125","NLSTR","Strikes in Netherlands","1840","","KOUDUM"
"126","NLSTR","Strikes in Netherlands","1840","10120","MOORDRECHT"
"126","NLSTR","Strikes in Netherlands","1840","11377","ZEVENHUIZEN"
"127","NLSTR","Strikes in Netherlands","1840","11387","HAARLEMMERMEER"
"128","NLSTR","Strikes in Netherlands","1841","10357","HAARLEM"
"129","NLSTR","Strikes in Netherlands","1841","10867","SLOTEN"
"130","NLSTR","Strikes in Netherlands","1841","","MENALDUM"
"131","NLSTR","Strikes in Netherlands","1841","","BENNEKOM"
"131","NLSTR","Strikes in Netherlands","1841","10743","EDE"
"132","NLSTR","Strikes in Netherlands","1842","11033","SMILDE"
